question_id;type;theme;title
OE2;QCM;Organisation de l'Etat;🇫🇷Q2 - Pensez-vous qu'il y a trop d'échelons administratifs en France ?
OE3;QCM;Organisation de l'Etat;🇫🇷Q3 - Quels sont les niveaux de collectivités territoriales auxquels vous êtes le plus attaché ?
OE4;QCM;Organisation de l'Etat;🇫🇷Q4 - Estimez-vous avoir accès aux services publics dont vous avez besoin ?
OE5;QCM;Organisation de l'Etat;🇫🇷Q5 - Préférez-vous interagir avec les services publics...
OE6;QCM;Organisation de l'Etat;🇫🇷Q6 - Parmi les nouvelles formes de service public suivantes, quelle est selon vous la meilleure idée ?
OE7;QCM;Organisation de l'Etat;🇫🇷Q7 - Faut-il revoir le fonctionnement et la formation de l’administration ?
OE8;QCM;Organisation de l'Etat;🇫🇷Q8 - Connaissez-vous le « droit à l’erreur », c’est-à-dire le droit d’affirmer votre bonne foi lorsque vous faites une erreur dans vos déclarations ?
OE9;Libre;Organisation de l'Etat;🇫🇷Q9 - Que pensez-vous de l'organisation de l'Etat et des administrations en France ? De quelle manière cette organisation devrait-elle évoluer ?
OE10;Libre;Organisation de l'Etat;🇫🇷Q10 - Quels types de services publics vous manquent dans votre territoire et nécessitent d'être renforcés ? Quelles évolutions positives des services publics avez-vous noté ces dernières années ? Quelles améliorations suggérez-vous ?
OE11;Libre;Organisation de l'Etat;🇫🇷Q11 - Comment l’Etat et les collectivités territoriales peuvent-ils s’améliorer pour mieux répondre aux défis de nos territoires les plus en difficulté ?
QL;Libre;Contribution libre;✏️Contribution libre
