question_id;answer_id;answer_title
DC6;3️⃣;Plutôt non
DC6;4️⃣;Non
DC6;🤷‍♂️;Je passe
DC7;1️⃣;Oui
DC7;2️⃣;Plutôt oui
DC7;3️⃣;Plutôt non
DC7;4️⃣;Non
DC7;🤷‍♂️;Je passe
DC8;1️⃣;Oui
DC8;2️⃣;Non
DC8;🤷‍♂️;Je passe
DC9;1️⃣;Oui
DC9;2️⃣;Plutôt oui
DC9;3️⃣;Plutôt non
DC9;4️⃣;Non
DC9;🤷‍♂️;Je passe
DC10;1️⃣;Satisfaisante
DC10;2️⃣;A améliorer
DC10;3️⃣;A modifier profondément
DC10;🤷‍♂️;Je passe
II2;1️⃣;Oui
II2;2️⃣;Plutôt oui
II2;3️⃣;Plutôt non
II2;4️⃣;Non
II2;🤷‍♂️;Je passe
OE1;1️⃣;Oui
OE1;2️⃣;Plutôt oui
OE1;3️⃣;Plutôt non
OE1;4️⃣;Non
OE1;🤷‍♂️;Je passe
OE2;1️⃣;Oui
OE2;2️⃣;Plutôt oui
OE2;3️⃣;Plutôt non
OE2;4️⃣;Non
OE2;🤷‍♂️;Je passe
OE3;1️⃣;La région
OE3;2️⃣;Le département
OE3;3️⃣;La commune
OE3;4️⃣;L'intercommunalité
OE3;🤷‍♂️;Je passe
OE4;1️⃣;Oui
OE4;2️⃣;Plutôt oui
OE4;3️⃣;Plutôt non
OE4;4️⃣;Non
OE4;🤷‍♂️;Je passe
OE5;1️⃣;Par téléphone
OE5;2️⃣;Sur Internet
OE5;3️⃣;En personne
OE5;🤷‍♂️;Je passe
OE6;1️⃣;des Maisons de services au public (regroupement de plusieurs services publics dans un même lieu)
OE6;2️⃣;des services publics itinérants (bus de services publics)
OE6;3️⃣;le service public sur prise de rendez-vous
OE6;4️⃣;des agents publics polyvalents susceptibles de vous accompagner dans l'accomplissement de plusieurs démarches quelle que soit l'administration concernée
OE6;🤷‍♂️;Je passe
OE7;1️⃣;Oui
OE7;2️⃣;Plutôt oui
OE7;3️⃣;Plutôt non
OE7;4️⃣;Non
OE7;🤷‍♂️;Je passe
OE8;1️⃣;Oui
OE8;2️⃣;Non
OE8;🤷‍♂️;Je passe
